Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments,SORT.A,SORT.B
73,D1,Sample_02,"""RGB(255,17,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,146,146
74,D2,Sample_10,"""RGB(255,153,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,147,147
74,D2,Sample_10,"""RGB(255,153,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,148,148
75,D3,Sample_18,"""RGB(221,255,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,149,149
75,D3,Sample_18,"""RGB(221,255,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,150,150
76,D4,Sample_26,"""RGB(85,255,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,151,151
76,D4,Sample_26,"""RGB(85,255,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,152,152
77,D5,Sample_34,"""RGB(0,255,51)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,153,153
77,D5,Sample_34,"""RGB(0,255,51)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,154,154
78,D6,Sample_42,"""RGB(0,255,187)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,155,155
78,D6,Sample_42,"""RGB(0,255,187)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,156,156
79,D7,Sample_50,"""RGB(0,187,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,157,157
79,D7,Sample_50,"""RGB(0,187,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,158,158
80,D8,Sample_58,"""RGB(0,51,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,159,159
