Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
276,L12,Sample_41,"""RGB(255,0,255)""",,,DPP6,"""RGB(124,179,66)""",UNKNOWN,VIC,NFQ-MGB,,
276,L12,Sample_41,"""RGB(255,0,255)""",,,GYPC2,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,
277,L13,Sample_06,"""RGB(73,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
277,L13,Sample_06,"""RGB(73,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
278,L14,Sample_13,"""RGB(109,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
278,L14,Sample_13,"""RGB(109,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
279,L15,Sample_20,"""RGB(146,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
279,L15,Sample_20,"""RGB(146,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
280,L16,Sample_27,"""RGB(182,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
280,L16,Sample_27,"""RGB(182,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
281,L17,Sample_34,"""RGB(219,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
281,L17,Sample_34,"""RGB(219,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
282,L18,Sample_41,"""RGB(255,0,255)""",,,GSX1,"""RGB(0,137,123)""",UNKNOWN,VIC,NFQ-MGB,,
282,L18,Sample_41,"""RGB(255,0,255)""",,,RALYL,"""RGB(67,160,71)""",UNKNOWN,CY5,NFQ-MGB,,
283,L19,Sample_06,"""RGB(73,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
283,L19,Sample_06,"""RGB(73,0,255)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
283,L19,Sample_06,"""RGB(73,0,255)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
284,L20,Sample_13,"""RGB(109,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
284,L20,Sample_13,"""RGB(109,0,255)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
284,L20,Sample_13,"""RGB(109,0,255)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
285,L21,Sample_20,"""RGB(146,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
285,L21,Sample_20,"""RGB(146,0,255)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
285,L21,Sample_20,"""RGB(146,0,255)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
286,L22,Sample_27,"""RGB(182,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
286,L22,Sample_27,"""RGB(182,0,255)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
286,L22,Sample_27,"""RGB(182,0,255)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
287,L23,Sample_34,"""RGB(219,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
287,L23,Sample_34,"""RGB(219,0,255)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
287,L23,Sample_34,"""RGB(219,0,255)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
288,L24,Sample_41,"""RGB(255,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,
288,L24,Sample_41,"""RGB(255,0,255)""",,,ImC,"""RGB(192,202,51)""",UNKNOWN,VIC,NFQ-MGB,,
288,L24,Sample_41,"""RGB(255,0,255)""",,,EpC,"""RGB(0,137,123)""",UNKNOWN,CY5,NFQ-MGB,,
289,M1,Sample_07,"""RGB(255,0,219)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
289,M1,Sample_07,"""RGB(255,0,219)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
290,M2,Sample_14,"""RGB(255,0,182)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
290,M2,Sample_14,"""RGB(255,0,182)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
291,M3,Sample_21,"""RGB(255,0,146)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
291,M3,Sample_21,"""RGB(255,0,146)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
292,M4,Sample_28,"""RGB(255,0,109)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
292,M4,Sample_28,"""RGB(255,0,109)""",,,ZSCAN12,"""RGB(67,160,71)""",UNKNOWN,VIC,NFQ-MGB,,
293,M5,Sample_35,"""RGB(255,0,73)""",,,GYPC1,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,
